id,name,lat,lon,departure,arrival
239,Western Ave & Leland Ave,41.96649453,-87.68841863,10.0,13.0
240,Sheridan Rd & Irving Park Rd,41.954245,-87.654406,42.0,37.0
241,Morgan St & Polk St,41.871737,-87.65103,66.0,57.0
242,Damen Ave & Leland Ave,41.967094,-87.679028,0.0,0.0
243,Lincoln Ave & Sunnyside Ave,41.963004,-87.684781,15.0,19.0
244,Ravenswood Ave & Irving Park Rd,41.95469,-87.67393,47.0,41.0
245,Clarendon Ave & Junior Ter,41.961004,-87.649603,42.0,43.0
246,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,52.0,62.0
247,Shore Dr & 55th St,41.795212,-87.580715,40.0,39.0
248,Woodlawn Ave & 55th St,41.795264,-87.596471,67.0,70.0
249,Montrose Harbor,41.963982,-87.638181,8.0,8.0
250,Ashland Ave & Wellington Ave,41.936083,-87.669807,27.0,71.0
251,Clarendon Ave & Leland Ave,41.967968,-87.650001,52.0,63.0
252,Greenwood Ave & 47th St,41.809835,-87.599383,38.0,39.0
253,Winthrop Ave & Lawrence Ave,41.968812,-87.657659,57.0,60.0
254,Pine Grove Ave & Irving Park Rd,41.954383,-87.648043,50.0,43.0
255,Indiana Ave & Roosevelt Rd,41.867888,-87.623041,21.0,21.0
256,Broadway & Sheridan Rd,41.952833,-87.649993,0.0,0.0
257,Lincoln Ave & Waveland Ave,41.948797,-87.675278,29.0,30.0
258,Logan Blvd & Elston Ave,41.929465,-87.684158,42.0,46.0
259,California Ave & Francis Pl (Temp),41.91849115,-87.6974228,18.0,22.0
260,Kedzie Ave & Milwaukee Ave,41.929567,-87.707857,20.0,30.0
261,Hermitage Ave & Polk St,41.871514,-87.669886,62.0,62.0
262,Halsted St & 37th St,41.827059,-87.64572,60.0,57.0
263,Rhodes Ave & 32nd St,41.836208,-87.613533,24.0,26.0
264,Stetson Ave & South Water St,41.886835,-87.62232,22.0,19.0
265,Cottage Grove Ave & Oakwood Blvd,41.822985,-87.6071,19.0,24.0
267,Lake Park Ave & 47th St,41.809443,-87.591875,25.0,25.0
268,Lake Shore Dr & North Blvd,41.911722,-87.626804,12.0,19.0
270,Stony Island Ave & 75th St,41.75866967,-87.58688287,31.0,35.0
271,Cottage Grove Ave & 43rd St,41.816499,-87.606582,17.0,18.0
272,Indiana Ave & 31st St,41.838842,-87.621857,126.0,133.0
273,Michigan Ave & 18th St,41.857813,-87.62455,18.0,27.0
274,Racine Ave & 15th St,41.861267,-87.656625,14.0,17.0
275,Ashland Ave & 13th St,41.865234,-87.666507,8.0,11.0
276,California Ave & North Ave,41.91044,-87.6972,17.0,24.0
277,Ashland Ave & Grand Ave,41.891072,-87.666611,48.0,52.0
278,Wallace St & 35th St,41.830629,-87.64129,102.0,102.0
279,Halsted St & 35th St,41.830661,-87.647172,42.0,39.0
280,Morgan St & 31st St,41.8378,-87.65114,19.0,20.0
281,Western Ave & 24th St,41.84847,-87.685109,14.0,14.0
282,Halsted St & Maxwell St,41.864883,-87.647071,21.0,16.0
283,LaSalle St & Jackson Blvd,41.878166,-87.631929,46.0,31.0
284,Michigan Ave & Jackson Blvd,41.87785,-87.62408,28.0,32.0
285,Wood St & Hubbard St,41.889899,-87.671473,9.0,7.0
286,Franklin St & Adams St (Temp),41.87943409,-87.63550401,12.0,7.0
287,Franklin St & Monroe St,41.880317,-87.635185,53.0,55.0
288,Larrabee St & Armitage Ave,41.918084,-87.643749,7.0,10.0
289,Wells St & Concord Ln,41.912133,-87.634656,0.0,0.0
290,Kedzie Ave & Palmer Ct,41.921525,-87.707322,10.0,8.0
291,Wells St & Evergreen Ave,41.906724,-87.63483,323.0,467.0
292,Southport Ave & Clark St,41.957081,-87.664199,0.0,0.0
293,Broadway & Wilson Ave,41.965221,-87.658139,1.0,1.0
294,Broadway & Berwyn Ave,41.978353,-87.659753,6.0,2.0
295,Broadway & Argyle St,41.973815,-87.65966,12.0,17.0
296,Broadway & Belmont Ave,41.940106,-87.645451,47.0,60.0
297,Paulina St & Montrose Ave,41.961507,-87.671387,12.0,9.0
298,Lincoln Ave & Belle Plaine Ave,41.95602,-87.680293,11.0,12.0
299,Halsted St & Roscoe St,41.94367,-87.64895,15.0,14.0
300,Broadway & Barry Ave,41.937725,-87.644095,36.0,30.0
301,Clark St & Schiller St,41.907993,-87.631501,7.0,8.0
302,Sheffield Ave & Wrightwood Ave,41.928712,-87.653833,4.0,6.0
303,Broadway & Cornelia Ave,41.945529,-87.646439,7.0,7.0
304,Broadway & Waveland Ave,41.949074,-87.648636,4.0,3.0
305,Western Ave & Division St,41.902893,-87.687275,26.0,30.0
306,Sheridan Rd & Buena Ave,41.958494,-87.654966,157.0,141.0
307,Southport Ave & Clybourn Ave,41.920771,-87.663712,71.0,73.0
