pick_up_intersection,count
1017.0,10236
1069.0,3387
1226.0,95177
1252.0,209
1406.0,166
1472.0,994
1544.0,85215
1583.0,61633
1966.0,91944
2057.0,22740
2116.0,57024
2165.0,104673
2317.0,458
2391.0,8120
2743.0,78491
2891.0,130
2973.0,1978
3065.0,1551
3107.0,1429
3238.0,4071
3257.0,5090
3301.0,285
3514.0,61
3585.0,98
3609.0,1815
3674.0,284
3731.0,61
3786.0,840
4003.0,94
17.0,169071
23.0,27726
190.0,9078
351.0,7089
420.0,171923
657.0,65972
683.0,90197
814.0,62688
875.0,41660
965.0,673
1042.0,4375
1059.0,867885
1223.0,124085
1250.0,36234
1331.0,4880
1365.0,129382
1436.0,55674
1846.0,35959
2150.0,34891
2225.0,154209
2353.0,654
2557.0,450
2833.0,79837
2998.0,599
3004.0,2192
3026.0,69610
3082.0,17367
3550.0,12631
3559.0,1977
3671.0,29
3720.0,435
3787.0,365
3920.0,129
4090.0,1481
100.0,2111
266.0,95688
464.0,33100
485.0,23062
552.0,4400
986.0,58859
1130.0,48572
1188.0,61853
1388.0,158645
1474.0,83232
1735.0,123582
1989.0,1776
2095.0,38824
2531.0,332
2534.0,4503
2572.0,64278
2596.0,57238
2651.0,247
2731.0,20572
2840.0,200810
2977.0,298
3034.0,138
3045.0,11638
3060.0,39
3384.0,168
3573.0,20
3658.0,1128
3799.0,1313
3814.0,275
3940.0,190
3941.0,17
3978.0,26
63.0,5079
296.0,9325
340.0,41356
604.0,8231
974.0,69333
1177.0,2061
1241.0,78777
1316.0,35773
1479.0,24
1495.0,151698
1515.0,123961
1535.0,29283
1537.0,973
1559.0,48765
1628.0,113082
1694.0,16308
1707.0,88117
1730.0,40344
1746.0,101084
1765.0,42343
1807.0,67997
1893.0,1227
1922.0,772
2009.0,84087
2184.0,113408
2341.0,80700
2372.0,136055
2402.0,3343
2558.0,37551
2703.0,85386
2804.0,3829
2950.0,1506
2975.0,1131
3032.0,3402
3088.0,239
3090.0,85859
3195.0,580
3232.0,1429
3312.0,88
3331.0,751
3373.0,839
3437.0,278
3684.0,2195
3716.0,15
3770.0,40
3992.0,18
3999.0,485
4056.0,11
22.0,37158
54.0,20443
300.0,51704
331.0,107689
356.0,15902
435.0,18363
563.0,72849
746.0,180350
810.0,5965
902.0,3922
935.0,700
1002.0,675
1061.0,2394
1375.0,8181
1446.0,127804
1519.0,145716
1747.0,103340
1761.0,52854
1779.0,228929
1859.0,66448
1967.0,198
2027.0,7779
2032.0,93587
2119.0,34479
2129.0,6758
2197.0,35555
2248.0,34198
2259.0,23712
2406.0,9167
2645.0,15306
3064.0,9390
3126.0,212
3133.0,50050
3422.0,3969
3452.0,165
3666.0,94
3822.0,101
4001.0,157
138.0,3659
144.0,42965
273.0,20387
480.0,53336
518.0,2137
709.0,8095
761.0,74568
790.0,18906
851.0,4194
945.0,124
1131.0,8484
1234.0,52747
1383.0,120971
1618.0,414
1724.0,115561
1971.0,26429
2031.0,42711
2090.0,935
2217.0,2430
2346.0,32600
2420.0,52700
2499.0,77321
2582.0,46087
2600.0,96630
2641.0,921
2646.0,23752
2710.0,424
2755.0,118586
2757.0,727
2990.0,76213
3286.0,417
3404.0,1513
3487.0,4547
3680.0,810
3690.0,63
3721.0,166
3798.0,29
3802.0,612
39.0,8105
318.0,22434
586.0,83289
636.0,76564
658.0,39872
841.0,16180
934.0,604
1284.0,149830
1454.0,77832
1555.0,56971
2008.0,33082
2019.0,68283
2070.0,56445
2123.0,66114
2228.0,32778
2281.0,63337
2327.0,431
2441.0,14826
2464.0,47124
3049.0,7652
3147.0,167
3174.0,2695
3428.0,292
3446.0,74
3468.0,58
3569.0,25
3574.0,23
3728.0,182
3809.0,403
77.0,8694
92.0,20479
172.0,18828
258.0,9814
640.0,2377
652.0,11450
796.0,187554
829.0,9522
951.0,17449
1084.0,15249
1366.0,245589
1373.0,103708
1604.0,31646
1721.0,46145
1759.0,104418
1900.0,91458
2034.0,27544
2122.0,21663
2176.0,125276
2205.0,35414
2215.0,7806
2261.0,81694
2331.0,90970
2857.0,591
2872.0,74723
2911.0,245
2936.0,11137
3001.0,146660
3314.0,247
3355.0,557
3366.0,1311
3595.0,715
3670.0,421
3955.0,154
4027.0,28
4035.0,30
195.0,3071
243.0,56380
292.0,1025
412.0,10012
490.0,8991
525.0,56420
675.0,121786
759.0,204
900.0,2227
928.0,38377
1257.0,261825
1512.0,1631
1630.0,52862
1728.0,56031
1870.0,345
1953.0,1160
1975.0,3910
2132.0,1505
2227.0,4534
2262.0,752
2266.0,19836
2304.0,12607
2396.0,44761
2432.0,66658
2457.0,39416
2487.0,783
2656.0,43323
2706.0,134121
3176.0,148
3300.0,13597
3434.0,2277
3448.0,206
3491.0,1532
3591.0,41
3654.0,23263
3901.0,79
3912.0,1152
3958.0,26
90.0,1310
211.0,17888
259.0,49813
285.0,4975
321.0,71531
352.0,4999
473.0,21922
492.0,28846
673.0,60313
687.0,27700
732.0,24731
953.0,312
954.0,2342
1040.0,97504
1070.0,1813
1313.0,34344
1319.0,99354
1322.0,46469
1336.0,198558
1480.0,51520
1554.0,30899
1564.0,26631
1836.0,1157
1866.0,11265
1879.0,4531
2085.0,63726
2201.0,84861
2243.0,2128
2371.0,850
2670.0,1146
2705.0,68157
2752.0,106237
2910.0,50660
3263.0,5741
3303.0,733
3360.0,1101
3461.0,576
3486.0,162
3492.0,19918
3493.0,2215
3656.0,25
3695.0,48
3768.0,17
3791.0,114
3866.0,46
3885.0,152
3949.0,14
2.0,11201
223.0,1693
291.0,17750
348.0,76430
501.0,113663
590.0,3203
857.0,72047
1057.0,28946
1179.0,222585
1269.0,4307
1344.0,79229
1351.0,123132
1449.0,90005
1532.0,59522
1578.0,95042
1590.0,87688
1592.0,52749
1615.0,111210
1665.0,113096
1678.0,237068
1972.0,5585
1976.0,15695
1987.0,152
2115.0,157290
2287.0,5183
2291.0,30377
2319.0,55235
2594.0,193
2661.0,43712
2675.0,430
2679.0,403
2756.0,181994
2806.0,113
3037.0,41
3054.0,945
3202.0,2871
3456.0,32
3542.0,1647
4026.0,63
4032.0,9
202.0,16315
532.0,43965
660.0,4187
1212.0,118407
1312.0,339
1588.0,20498
1638.0,49330
1644.0,145230
1682.0,110210
1775.0,31925
1880.0,65996
1990.0,120249
2160.0,28686
2239.0,103209
2336.0,25102
2358.0,706
2364.0,239990
2541.0,578
2724.0,7344
2850.0,60596
2986.0,113
3132.0,1682
3181.0,23
3297.0,1198
3541.0,21
3679.0,204
3959.0,19
4018.0,46
42.0,31829
248.0,19954
533.0,19135
573.0,3537
605.0,128199
699.0,3844
799.0,12054
938.0,148004
1047.0,7605
1062.0,54906
1173.0,60916
1229.0,143299
1372.0,74414
1416.0,1561
1749.0,67326
1942.0,156149
1999.0,200839
2038.0,134578
2111.0,59584
2178.0,2082
2264.0,41335
2269.0,26512
2355.0,44196
2685.0,111
2733.0,6421
2786.0,16531
3108.0,186
3219.0,11284
3393.0,105
3410.0,36
3525.0,372
3529.0,1736
3584.0,1104
3652.0,297
4030.0,80
4033.0,42
160.0,7740
220.0,35211
287.0,4683
333.0,15626
460.0,65865
686.0,8329
762.0,18153
898.0,39352
961.0,4000
1196.0,30292
1198.0,61185
1262.0,137220
1453.0,116011
1643.0,107875
1650.0,41043
1669.0,77318
1736.0,56593
1776.0,30219
1907.0,149548
1917.0,876
1982.0,577
2033.0,114408
2274.0,201832
2306.0,172946
2436.0,69038
2691.0,284
2736.0,76868
2886.0,13581
2908.0,438
3030.0,1891
3035.0,72
3077.0,257
3084.0,78772
3105.0,1381
3143.0,1876
3222.0,147
3342.0,12
3361.0,2250
3413.0,576
3582.0,284
3599.0,338
3698.0,292
3872.0,164
3887.0,331
3951.0,920
3973.0,17
3984.0,49
354.0,39389
630.0,31518
744.0,100043
855.0,106871
896.0,59581
1281.0,146199
1411.0,112
1591.0,911
1616.0,55929
1656.0,417
1760.0,43283
1843.0,23166
1944.0,294
2082.0,80474
2175.0,486
2265.0,8273
2345.0,47804
2389.0,99505
2621.0,7514
2638.0,38002
2788.0,26754
2813.0,326
2925.0,1461
3160.0,49978
3249.0,405
3347.0,134
3540.0,367
3558.0,189
3647.0,27
3676.0,86
3744.0,31
3838.0,954
3852.0,48
4084.0,239
37.0,16416
108.0,1045
134.0,1394
255.0,21687
283.0,41320
328.0,17930
704.0,9193
861.0,13991
874.0,42032
889.0,11898
937.0,30107
1077.0,183312
1083.0,10230
1105.0,42953
1210.0,5445
1251.0,101521
1280.0,15150
1497.0,121047
1500.0,2592
1620.0,45382
1708.0,2741
1777.0,45530
1835.0,37560
1882.0,90521
2021.0,68595
2117.0,3119
2136.0,32607
2137.0,121095
2479.0,1624
2576.0,43445
2664.0,99702
2787.0,1361
2892.0,473
3002.0,2352
3180.0,497
3285.0,213
3458.0,480
3557.0,915
3632.0,130
3832.0,44
3946.0,58
104.0,29425
135.0,2067
203.0,41622
382.0,82001
401.0,3951
531.0,12455
740.0,2167
863.0,45648
870.0,57553
936.0,58391
1103.0,41077
1298.0,141
1420.0,27584
1824.0,117
1848.0,36769
2040.0,51296
2126.0,41585
2206.0,115607
2295.0,15342
2383.0,42068
2394.0,27843
2490.0,19679
2775.0,806
2828.0,372
2943.0,106018
2964.0,205
3151.0,433
3179.0,67329
3201.0,2122
3330.0,442
3655.0,160
3989.0,44
4008.0,802
216.0,83269
307.0,10245
380.0,24018
405.0,7703
516.0,4269
535.0,80059
592.0,27643
649.0,11353
820.0,40960
868.0,31810
943.0,87840
1205.0,86937
1302.0,81603
1324.0,85874
1429.0,78732
1780.0,91197
1939.0,50178
1985.0,41496
1991.0,37093
1996.0,23828
2054.0,38920
2297.0,3044
2313.0,15973
2456.0,3072
2632.0,399
2718.0,52500
2737.0,24310
2844.0,1671
2909.0,1931
3008.0,60413
3014.0,2052
3140.0,39
3488.0,26
3659.0,350
3777.0,274
3811.0,2497
3846.0,487
50.0,2282
137.0,3950
214.0,11936
304.0,39710
370.0,20489
445.0,2605
770.0,119864
800.0,74976
853.0,91982
933.0,36306
977.0,13206
1184.0,35317
1238.0,85083
1270.0,8074
1482.0,41721
1498.0,99254
1507.0,93866
1569.0,32026
1854.0,42575
1872.0,110054
1970.0,6961
2056.0,30930
2174.0,1531
2293.0,22112
2366.0,32739
2400.0,40813
2768.0,93732
2968.0,1050
3086.0,148
3188.0,76
3218.0,58932
3370.0,562
3380.0,207
3490.0,571
3551.0,13
3586.0,840
3707.0,35
3759.0,93
3841.0,162
3917.0,171
3934.0,47
3994.0,75
150.0,2925
152.0,151242
189.0,6821
222.0,31212
313.0,8812
362.0,9311
411.0,79925
479.0,37808
536.0,15071
542.0,123033
723.0,45887
795.0,1262
802.0,111194
852.0,72675
890.0,15797
897.0,29133
1138.0,86729
1290.0,2260
1293.0,37896
1410.0,88336
1561.0,21359
1627.0,79909
1658.0,73694
1889.0,146693
1998.0,31444
2068.0,300
2191.0,1361
2249.0,37490
2360.0,39996
2483.0,47364
2859.0,79616
2877.0,3888
2901.0,1232
3172.0,171
3190.0,13655
3208.0,2965
3225.0,78
3329.0,523
3369.0,272
3622.0,43
3649.0,1159
3669.0,19485
3711.0,562
3780.0,75
3962.0,71
3967.0,40
4069.0,103
74.0,5873
127.0,13666
141.0,2382
173.0,5141
272.0,52696
280.0,15045
317.0,47761
374.0,17486
407.0,29801
794.0,4344
1000.0,20664
1001.0,41000
1134.0,70829
1321.0,64271
1523.0,101372
1527.0,117217
1547.0,82532
1758.0,56608
1818.0,209805
1832.0,80665
1888.0,2146
2050.0,815
2051.0,2718
2183.0,55616
2292.0,4108
2328.0,5881
2409.0,24436
2426.0,39179
2518.0,76601
2532.0,68077
2584.0,25910
2644.0,25033
2782.0,271
2917.0,722
3006.0,1150
3079.0,3270
3134.0,31554
3200.0,38664
3235.0,1112
3371.0,529
3382.0,2372
3418.0,50
3640.0,1165
3643.0,152
3667.0,54
3681.0,715
3858.0,156
4031.0,36
24.0,20094
170.0,16005
244.0,1697
400.0,6845
475.0,13790
595.0,28306
643.0,89325
745.0,100158
797.0,336
821.0,104091
969.0,79767
1003.0,776
1091.0,30239
1399.0,45440
1431.0,105457
2005.0,194
2029.0,9929
2241.0,7697
2256.0,373
2284.0,3963
2452.0,111287
2681.0,50050
2808.0,725
2883.0,170
2922.0,50087
2974.0,11930
3042.0,3526
3209.0,4243
3250.0,1948
3256.0,6656
3334.0,16
3519.0,166
3735.0,108
3944.0,23
3971.0,322
3990.0,137
46.0,4866
72.0,63934
133.0,60683
234.0,17018
254.0,23060
375.0,18706
483.0,117923
1153.0,12240
1204.0,228980
1335.0,71137
1414.0,128918
1456.0,33556
1508.0,41352
1518.0,97137
1530.0,5078
1603.0,51270
1626.0,64264
1713.0,77452
1766.0,13888
1778.0,103
1809.0,8927
1817.0,1881
1912.0,1872
1950.0,47605
2069.0,126824
2181.0,18262
2252.0,54241
2343.0,149946
2501.0,53991
2591.0,782
2592.0,40293
2625.0,117977
2955.0,1795
2996.0,10042
3022.0,87766
3085.0,1067
3210.0,1491
3316.0,42
3476.0,2379
3581.0,105
3751.0,36
3774.0,63
3907.0,455
3960.0,151
4021.0,13
4048.0,14
35.0,4173
102.0,9719
153.0,4545
262.0,67722
349.0,19324
372.0,119693
506.0,3567
554.0,3840
621.0,2528
712.0,31651
822.0,22956
944.0,214
1369.0,104388
1377.0,26029
1528.0,1240
1619.0,1343
1795.0,362
1886.0,1258
2007.0,89386
2047.0,136495
2141.0,1349
2151.0,20518
2533.0,30666
2539.0,111381
2566.0,4851
2593.0,181
2677.0,36621
2797.0,51945
2814.0,56752
2823.0,404
2847.0,229
2881.0,662
2882.0,23947
3282.0,44
3328.0,21072
3441.0,275
3479.0,14
3571.0,276
3611.0,783
3727.0,26
3865.0,21
3933.0,1659
4068.0,18
4071.0,11
128.0,1755
263.0,38828
393.0,11928
522.0,5008
550.0,13453
628.0,70570
903.0,3118
918.0,3414
984.0,41826
1124.0,524040
1248.0,68067
1268.0,123915
1303.0,150015
1338.0,22555
1380.0,140162
1400.0,126526
1421.0,1259
1521.0,1557
1613.0,81126
1648.0,187203
1683.0,26909
1692.0,77584
1739.0,9677
1781.0,106006
1784.0,46795
2104.0,80572
2240.0,2918
2524.0,103
2548.0,19111
2663.0,256
2822.0,86812
3159.0,44628
3167.0,603
3193.0,229
3362.0,1798
3426.0,101
3738.0,60
4042.0,27
4057.0,14
4060.0,27
6.0,17546
159.0,7160
201.0,8023
264.0,13904
487.0,79489
539.0,47883
570.0,14842
743.0,5824
827.0,96405
1087.0,5479
1119.0,6820
1149.0,95863
1167.0,66705
1211.0,12525
1355.0,9199
1514.0,80908
1609.0,68709
1706.0,50434
1709.0,41818
2025.0,224218
2290.0,18830
2520.0,76495
3114.0,28
3302.0,4124
3337.0,2208
3368.0,8222
3543.0,1191
3565.0,2142
3587.0,1190
3792.0,156
3871.0,38
3913.0,32
4052.0,8
428.0,1158
484.0,147581
567.0,2640
598.0,20697
705.0,159140
748.0,49422
781.0,99719
1121.0,91884
1142.0,76901
1368.0,194850
1422.0,126562
1594.0,36254
1804.0,116445
1812.0,1674
1927.0,30649
1934.0,9571
1973.0,462
2000.0,176422
2320.0,32866
2369.0,47385
2378.0,40880
2401.0,22565
2639.0,17638
2700.0,738
2701.0,269
2765.0,231
2815.0,91622
2944.0,21353
3205.0,57
3304.0,5392
3617.0,101
3678.0,125
3706.0,45
3844.0,73
3929.0,40
3931.0,42
4061.0,15
110.0,18792
187.0,4228
204.0,5941
309.0,3059
689.0,1234
698.0,62054
707.0,69828
727.0,1304
766.0,4636
778.0,100107
864.0,5808
1035.0,815
1073.0,12100
1080.0,76410
1304.0,771
1332.0,83745
1361.0,32202
1511.0,19233
1652.0,1969
1691.0,69391
2035.0,757
2062.0,53150
2294.0,18413
2468.0,11785
2606.0,10475
2622.0,96113
2683.0,68426
2694.0,1162
2770.0,90303
2864.0,59353
2874.0,501
3017.0,566
3101.0,176
3144.0,341
3475.0,148
3645.0,32
3730.0,32
3752.0,75
3810.0,1278
4004.0,53
4036.0,399
45.0,8508
413.0,16659
946.0,81911
980.0,157358
1025.0,178072
1045.0,73196
1147.0,116757
1225.0,22493
1504.0,138
1570.0,60127
1725.0,35639
1741.0,49067
1874.0,79648
2231.0,59996
2377.0,115191
2416.0,42138
3237.0,1526
3332.0,48
3356.0,116
3806.0,6322
3870.0,109
3900.0,292
3986.0,47
396.0,6823
404.0,70970
547.0,6201
654.0,52910
739.0,1372
807.0,3546
1172.0,87664
1608.0,35613
1840.0,248203
1885.0,109
1911.0,152939
1941.0,4886
2125.0,92666
2169.0,52033
2226.0,14952
2282.0,704
2285.0,87747
2370.0,92679
2516.0,57661
2527.0,213
2599.0,4468
2635.0,121830
2653.0,633
2832.0,61270
2976.0,5696
3216.0,76
3307.0,3948
3472.0,227
3627.0,31
3641.0,59
143.0,7619
158.0,35238
253.0,2945
275.0,19815
443.0,11154
603.0,2395
808.0,48802
947.0,8392
988.0,116986
1143.0,7434
1299.0,218918
1425.0,644
1576.0,121909
1632.0,29410
1647.0,69939
1768.0,155364
1819.0,173257
1837.0,73309
1903.0,54200
1980.0,2453
2048.0,111653
2112.0,87917
2438.0,35867
2476.0,50390
2536.0,35473
2713.0,5085
2744.0,12245
2836.0,1938
2905.0,66028
2930.0,9259
3048.0,698
3178.0,1179
3333.0,272
3460.0,596
3494.0,868
3665.0,79
3985.0,53
31.0,64083
325.0,14829
388.0,67167
425.0,29451
446.0,16235
517.0,23750
650.0,63267
735.0,75831
968.0,295
1033.0,2056
1079.0,7115
1199.0,61781
1254.0,19681
1255.0,69701
1300.0,554
1308.0,95435
1393.0,200268
1413.0,2088
1424.0,159148
1461.0,346
1586.0,46517
1617.0,2344
1629.0,148584
1802.0,63488
1916.0,341
1959.0,43624
2017.0,60202
2037.0,8061
2107.0,25340
2470.0,41816
2565.0,1153
2589.0,27177
2674.0,18653
2725.0,182
2796.0,2084
2885.0,1299
2916.0,14240
2945.0,1043
2960.0,33847
2983.0,2081
3127.0,21
3175.0,287
3421.0,116
3438.0,530
3453.0,1586
3501.0,2441
3546.0,39
3630.0,51
3743.0,1304
3882.0,100
93.0,4071
168.0,2759
299.0,69615
376.0,62514
456.0,14332
696.0,88449
776.0,647
787.0,24164
844.0,318
1295.0,346
1320.0,92
1346.0,82160
1463.0,35553
1602.0,104
1675.0,49924
1774.0,24377
2026.0,138461
2153.0,1181
2385.0,474
2399.0,8589
2421.0,93770
2469.0,528
2488.0,21189
2603.0,3178
2642.0,9574
2655.0,136080
2771.0,34725
2895.0,59277
3308.0,2352
3326.0,918
3341.0,108
3429.0,1670
3570.0,2204
3686.0,84
3722.0,886
3739.0,1738
3790.0,133
3843.0,74
3921.0,49
3969.0,59
4002.0,40
70.0,6103
99.0,5806
230.0,22272
