drop_off_intersection,count
3034.0,2492
3045.0,23178
3060.0,625
3384.0,213
3573.0,539
3658.0,4184
3799.0,8727
3814.0,507
3940.0,1770
3941.0,442
3978.0,735
63.0,12790
296.0,10703
340.0,48240
604.0,23924
974.0,65624
1177.0,5557
1241.0,22636
1316.0,28820
1479.0,1088
1495.0,157339
1515.0,95429
1535.0,60386
1537.0,7188
1559.0,24631
1628.0,96240
1694.0,36248
1707.0,93913
1730.0,44140
1746.0,89776
1765.0,56341
1807.0,79638
1893.0,17638
1922.0,6533
2009.0,88059
2184.0,105855
2341.0,69720
2372.0,91638
2402.0,22364
2558.0,38985
2703.0,106991
2804.0,16153
2950.0,10731
2975.0,4271
3032.0,9500
3088.0,461
3090.0,45619
3195.0,3296
3232.0,1014
3312.0,1509
3331.0,3321
3373.0,6711
3437.0,3929
3684.0,1956
3716.0,98
3770.0,968
3992.0,832
3999.0,1545
4056.0,48
22.0,39584
54.0,149691
300.0,15432
331.0,163758
356.0,14453
435.0,48422
563.0,57293
746.0,155075
810.0,5180
902.0,10504
935.0,2682
1002.0,2997
1061.0,4133
1375.0,17011
1446.0,143999
1519.0,135424
1747.0,135973
1761.0,91657
1779.0,221026
1859.0,98689
1967.0,284
2027.0,29943
2032.0,124818
2119.0,40457
2129.0,18677
2197.0,35676
2248.0,37581
2259.0,20164
2406.0,30433
2645.0,7010
3064.0,3887
3126.0,368
3133.0,32037
3422.0,27670
3452.0,1005
3666.0,930
3822.0,307
4001.0,2289
138.0,10284
144.0,30969
273.0,34589
480.0,21451
518.0,3375
709.0,28833
761.0,95637
790.0,10204
851.0,13410
945.0,490
1131.0,14811
1234.0,78682
1383.0,88686
1618.0,2763
1724.0,157465
1971.0,26144
2031.0,22366
2090.0,14166
2217.0,3181
2346.0,30760
2420.0,43728
2499.0,94586
2582.0,34102
2600.0,93019
2641.0,4064
2646.0,29138
2710.0,4122
2755.0,85981
2757.0,2442
2990.0,58305
3286.0,2883
3404.0,9955
3487.0,24550
3680.0,6492
3690.0,706
3721.0,1193
3798.0,1172
3802.0,3209
39.0,5215
318.0,24250
586.0,89306
636.0,54942
658.0,53366
841.0,20952
934.0,833
1284.0,115851
1454.0,37481
1555.0,50963
2008.0,26990
2019.0,83648
2070.0,15078
2123.0,32397
2228.0,23033
2281.0,63913
2327.0,6842
2441.0,16957
2464.0,62456
